word,clue
MULTIPLE,Many cross receiving pound gratuity (8)
DEMUR,Object when bird blocks drive (5)
REFUSAL,No official American centre for koalas (7)
DEVILRY,Wickedness of year spent in retirement (7)
PIZZA,Nothing around Zulu area for food (5)
OVERLADEN,Jam-packed deliveries left Yemen port (9)
LADYLIKE,Genteel manoeuvring ideally to bag king (8)
SPICED,"Rushed eating starters in Indian, carefully seasoned (6)"
FEROCITY,Instilling love to rectify awful savagery (8)
AVIATOR,One flies by in upward course (7)
PREVALENT,Pressure on cleric before a Christian observance is common (9)
CLAMP,Squeeze fifty in temporary quarters (5)
BANQUET,We’re told save banter for lavish meal (7)
RIDGES,Clear oddly greasy wrinkles (6)
JACKSONPOLLOCK,"Painter of sailor and child with fish (7,7)"
REDEVELOP,Update of work supporting journalist infiltrating party (9)
CRAYONED,"Shaded yard, once renovated (8)"
UNFAZED,Composed a French female a final letter (7)
MELODIC,"Sounding agreeable, doctor covers tips for lumbago (7)"
PROPEL,Push forward in short formal line (6)
SMALL,Petty scam disheartened everyone (5)
COUGHUP,"Accomplishment pocketing gross pay (5,2)"
PHANTOM,God leads boy to embrace origin of Holy Ghost (7)
PEDESTRIAN,"User of feet, flat (10)"
ONLY,"Single: piece of vinyl, nostalgic looking back (4)"
ATAPINCH,"Where salt may be taken, if necessary? (2,1,5)"
INMATE,"At home with partner, one’s inside (6)"
NIGHTINGALE,Near feeling of excitement consuming a winger (11)
MOUSER,Cat more unlikely to impress us (6)
HONEYPOT,"Draw ring circled by the pony, lamely (8)"
SHOT,Opportunity destroyed (4)
BREADSTICK,"Solid block stuffed with stewed dates, crisp food (10)"
DAVINCI,"Artist in diva upset about rhetoric, ultimately (2,5)"
STRIKER,"Forward, picket (7)"
POVERTY,Need some grip over tyrant (7)
OGRE,"Giant of giants, really enormous initially (4)"
MUTTON,Dog riding sheep (6)
THINKING,Theory shows obsession about family (8)
INFORMALLY,"In casual manner, friend currently playing well? (10)"
TOILETS,"Creation of TS Eliot, ladies and gentlemen (7)"
HIGHLIGHTER,"On top shelf perhaps, thinner pen (11)"
POINSETTIA,"Unfortunately I step on it, a plant with brightly coloured leaves (10)"
HARDBACK,Tough second book (8)
GOAHEAD,Permission from Indian state leader (2-5)
POACHED,"Nicked, pop getting cut, hurt (7)"
NUDITY,"Rubbish untidy, natural state (6)"
TWIG,Realise it’s a bit of wood (4)
STICKS,Little mite smuggled aboard ship doesn’t go away (6)
FORETOPS,Platforms allowing vocal quartet to be heard (8)
COMMITMENT,Dedication of US university evident in discussion (10)
IRON,Endless sarcasm offered by good conductor (4)
BEFRIEND,Support fire damaged in arch (8)
LITTER,Shiny stuff — no good — rubbish! (6)
SHAM,Second character surviving flood is a fraud (4)
MESSIEST,Most untidy place for eating that is on street (8)
STAND,Rugby player Don played in teachers’ team maybe (5-3)
PARK,What is expected by end of week is place in which to relax (4)
TARIFF,Duty of a queen intervening in row (6)
PLACEBOS,Situation with inadequate leader: such will be ineffective (8)
MAID,Girl? One may be hugged by mother returning (4)
STEPSISTER,Family member tries changing by incremental amounts (10)
VERANDAH,Raven had to fly around terrace (8)
SADISM,Cruelty making one unhappy is last thing kingdom needs (6)
THOSE,"That group shows spirit, first to last (5)"
CAMERAMEN,Fellows who may shoot others without killing them (9)
SETTER,"Dog in sofa, not quite right (6)"
RUTHLESS,Wicked hustlers showing no mercy (8)
TWIST,Young fellow requesting extra   dance (5)
PROFESSOR,"I have a chair, I declare (9)"
HITPARADE,"Old listing of characters involved in apartheid (3,6)"
IMPRESSED,Confession of someone in a hurry was breathtaking? (9)
CONFUSED,Bewildered prisoner mingled (8)
CAUSES,Parts of document getting left out — the reasons? (6)
INDRA,Pouring rain’d come from me? (5)
OMENS,Old chaps beginning to see warning signs (5)
UNDERSTAND,Gather where spectators seek refuge in bad weather? (10)
TORC,Necklace of spun carat gold breaks (4)
GNOCCHI,Cook coaching adult off to make dumplings (7)
AUCTION,Discretion to delay when clubs will appear for sale (7)
SUPPLEMENTARY,"Additional drink, soft and clear, having no head (13)"
ANYHOW,Native American greeting some at first indifferently (6)
ESPECIAL,Flipping excellent mushrooms eaten by the French in particular (8)
TEARAWAY,"Impetuous youngster not at home following meal, right? (8)"
AVOIDS,Misses southern singer holding nothing back (6)
RUNNINGSTITCH,"It’s used to gather material from pain athlete experiences? (7,6)"
SPANNER,Tool to measure energy new refrigerator initially consumes (7)
ERITREA,Country each artist urged regularly to visit (7)
DASH,"Hit, scratched by careless dart (4)"
HONEYEATER,"Bird, extremely tame, adopted by Hotel Four Seasons? (10)"
URGE,Encourage son to steer clear of medical profession (4)
DROPSBY,"Visits young lad disheartened after fielding mistakes (5,2)"
RECIPROCATION,"Return of actor in epic, or performing … (13)"
TRIFLE,… play that’s of little importance? (6)
NEARMISS,"Narrow escape from weapon, one that cuts head (4,4)"
ORIGAMI,Occasionally coercing Nancy’s friend to display Eastern art (7)
CANDYFLOSS,Something insubstantial about Capp married couple succeeded attracting readers ultimately (10)
CONSERVATOIRE,Wild overreaction describing student’s debut in music school (13)
CAUTERISED,Reportedly got mounting hope when a wound was treated thus? (10)
KANGAROO,Agreed to go north without new angora jumper (8)
ANNUALS,Garden plants in books (7)
INHERIT,Succeed with current blockbuster about the Queen (7)
STEEVE,Jobs for one told to pack ship tightly (6)
HAIR,Broadway musical that Yul Brynner abandoned? (4)
FILING,Putting on record one caught in affair (6)
SACKRACE,"Event that sees career on fire? (4,4)"
PRIMEMINISTER,"Politician offering terms ripe for negotiation, including car (5,8)"
INSTINCT,Detective must abandon vague feeling (8)
SHADES,Touch judges ultimately finding glasses (6)
LETSGO,"Checks energy releases (4,2)"
NEPOTISM,Work practice that’s relatively favourable (8)
CLARINET,A client upset about right type of music producer (8)
ELDEST,Cruel destiny imprisoning the first-born (6)
SCREWS,Prison guards work party on board (6)
RESIDENT,Local team in split (8)
FOOLSPARADISE,"Illusion loads of praise must shatter (5,8)"
PRETTIFY,"Embellish, rather, if being adopted (8)"
GEYSER,Bloke reportedly producing natural water feature (6)
IMPINGE,Influence of heartless figure pierced by nail (7)
IDIOT,Plonker‘s wild riposte oddly ignored (5)
GREENHORN,Callow youth or environmentalist with hooter (9)
STILTON,What might accompany crackers list lad keeps? (7)
CRIES,Shouts as male discharged from offences (5)
RETRACTED,Pulled back from area of ground covered in grass (9)
CARTELS,Consortiums offering vehicles fitted with phone (7)
SORTEDOUT,"Dealt with roots due for treatment, needing time (6,3)"
PRESSGANG,"Media pack finding old service provider (5,4)"
LUCIFER,The devil’s bunch regularly occupying prisoner (7)
TERNARY,Inclined to cry about R number based on three … (7)
SINCERE,… because R before end of June is genuine (7)
SUSHI,Something fishy in South American greeting (5)
DAIRY,"Parched, welcoming first-class supplier of milk (5)"
HABERDASHER,A person with pins and needles? (11)
OUTRAGE,Shock from breaker’s end in power cut … (7)
AMAZED,… floored by tangle inside plug (6)
SOMEONE,Worthy sweetheart after shortly embracing yours truly (7)
ENTITLE,"Document, it legally covers license (7)"
LUSTY,Endless drag before filthy place is fit (5)
SURRENDER,More certain about right outcome for resignation (9)
DISMISSAL,"Notice young woman in dark, sharing male … (9)"
REEKS,… exhales from occasionally briefer kiss (5)
TENNERS,Notes produced by singers for the audience (7)
AVIATOR,Pilot ace through until end of war (7)
MOTIVE,Inducement of sex rejected in advance (6)
INERTIA,Queen in top ten single reversing apathy (7)
INVESTIGATE,"Spy, possibly shirtless, faces international ‘scandal’ (11)"
ANATOMY,Science of a particle with variable (7)
ELEVENSES,Different son consuming regular cuppa? (9)
DRAKE,Degenerate after diamonds getting bird (5)
STARTLE,Rock idol talked oddly (7)
ERECTED,Stood before court and ended eviscerated (7)
CONSOLIDATE,Fuse board contains trace current rising (11)
STAMPS,Impressions of male wearing gaiters pulled up (6)
TERRESTRIAL,Mundane blunder in batch overturned experiment (11)
RELOADING,Getting the next round in? (9)
SUNDOWN,Evening Standard’s first open when free (7)
ITEMISE,Catalogue of exquisite misery (7)
RAIMENT,Wear and tear taking train (7)
ESTATE,"Divorce finally, say, giving grounds (6)"
SCENT,Spoor smell could expose new trail initially (5)
BRUMBY,Wild horse from Midlands city in reserve (6)
VOLATILE,Temperamental rodent keeps swishing tail (8)
SUPERGLUE,Agent good for Bond smashing luge into pieces (9)
MUFTI,Religious official sends note round university daily (5)
NIRVANA,North country area includes very serene place (7)
RETINUE,Royal attendants bemoan banking eastern money (7)
SADHU,Miserable husband initially under one choosing austerity (5)
EXEMPLAR,Former barrister maybe killing time sees model (8)
HECATOMB,Sacrifice and explosive combat at sea (8)
NOBLE,First book stolen from dope makes grand (5)
ENAMOUR,Entrance needs locks turned by soldiers without uniform (7)
NEUTRAL,Renault changing gear (7)
LAMIA,"Vampire, firstly impaled, interred by priest (5)"
IRISHSTEW,"Saint feeding cut flower before providing dish (5,4)"
GOSSAMER,Material from Web in plan approved to hold crowd back (8)
TRADER,Ship on move suddenly reverses (6)
BUSINESS,Elizabeth dresses American in outfit (8)
UMPIRED,Classy politician international socialist judged (7)
BARRACUDA,"Save artist given partially digested food, a fish (9)"
ONE,"No gang of gunmen handled machine (3-5,6)"
ADMIT,Take in maid dancing tango (5)
INFANTA,Admirer cheers to support popular princess (7)
EDITED,Checked rising water level — dredge in middle (6)
ALSACE,Man’s excellent knowledge about bad weather in border region (6-8)
PEN,Clerk one to provide assistance in swan-upping? (3-6)
DEFLOWER,"Lie with maid in spring, among forest creatures (8)"
ERASMUS,Times getting letters from Greek theologian (7)
BERATED,"Scolded, undergo assessment? (7)"
PEGLEG,"Pirate’s prop to fix on stage? (3,3)"
OSAKA,Mighty growth around Steppes originally a city (5)
APPROPRIATE,Right steal (11)
UNCONSCIONABLE,"Abhorrent conclusion, bane evil (14)"
AWAY,"Absent, a system (4)"
SPEED,Power maintained by top sportsperson in race (5)
OVER,Opener removed from fielding position for spell of bowling (4)
INDUSTRY,"In little bits, railway business (8)"
PRISON,"Nick is residing in flat, briefly (6)"
TRENDY,"In test, put a stop to breaks (6)"
CLOSE,Tightly packed store cleared out in secret (5-3)
SODA,Soft drink: I’m going without one on the counter (4)
METHSA,"Last of all in kingdom, prince without biggish debts, solvent (5)"
DIVA,Narcissist keen to make a comeback (4)
ONE,"Mentioned a drab drunk that will pick your pocket in Vegas? (3-5,6)"
BULLETPOINT,"Item on list, killer objective (6,5)"
ROOT,Reportedly track origin (4)
PASSPORT,Document I don’t know on drink (8)
IRISES,Flowers in roses I rightly pulled up (6)
TUNA,Fish in a fruitcake brought over (4)
ABOVESUSPICION,"Better than hint, obviously faultless? (5,9)"
WEARANDTEAR,"Use river with bit of salt water (4,3,4)"
VARIETYSHOW,"Performance I saw with very hot dancing (7,4)"
ASIDE,"A camp, out of the way (5)"
GROSS,Serious amount? (5)
ALPHABET,"What begins with a beat, pal improvising around Beethoven’s Fifth (8)"
CEREAL,Possible breakfast TV show announced? (6)
URDU,"Tongue held by paramour, dutifully (4)"
INFO,Dope working for government department (4)
HOPELESS,Wretched depression’s solved firstly taking exercise (8)
GANDHI,Great Asian nationalist died helping India initially (6)
BRAT,Terror of supporter with extra time (4)
ORIGINALLY,Occasionally Boursin and drink with partner initially (10)
NATIVE,Local is unaffected about temperature (6)
EPISODIC,Periodical is copied irregularly (8)
DEDUCT,Empty discharge channel to create dock (6)
ONLINE,"Connected to internet, single describes rejected love (6)"
PASSPORT,Father’s facing high jump perhaps for papers (8)
STEWED,"Worried good person married, embracing sweetheart (6)"
AGGRESSION,Hostility rose and gang is disbanded (10)
RITE,Ceremony is proper for the audience (4)
DEMEAN,Humble of French chap accepting English (6)
GOATSKIN,Attack family about son and hide (8)
GOURMAND,"A little pig, our man devoured pig (8)"
CERT,Queen seen in Court? Sure thing! (4)
REPOSE,Relax with record penned by Pink (6)
IGNITION,"Some sign it ionised, creating spark (8)"
ANTAGONISE,Turning one against needle (10)
CHILLI,"Dish which is hot and cold, reportedly (6)"
SLIVER,Shaving small organ (6)
INDISCREET,Entire CID’s mobilised lacking diplomacy (10)
CROSSING,Passage of old ship entering cold belt (8)
ELECTRIC,Charged vote for Republican in charge (8)
STRING,Series is smart to cover run (6)
ANGLES,‘Points of View’ for old people? (6)
SANDAL,Nearly everybody supports beach footwear (6)
RUSH,Career in rugby’s hard (4)
BLACKTIE,"Colourless band that is associated with a DJ (5,3)"
WARHORSE,Nag in a fight (8)
MOOR,Beastly noise by river in a desolate place (4)
CONGRATULATE,Praise from firm met with a grunt — working after hours? (12)
COMMERCE,Business to begin — right for any number to get involved (8)
NEPALI,Plane crashing close to India in mountainous territory (6)
PENT,Shut up in quiet part of hospital (4)
BRUTE,Monster repulsed in the course of terrible turbulence (5)
DARN,Blast from modern radio echoing (4)
LEANED,"Was inclined to be well educated, though neglecting reading? (6)"
LAMPPOST,Light support (8)
STEEPLECHASE,Race with dear Charles hiding in shelter (12)
ROAM,Wander round surrounded by sheep (4)
ESPALIER,Piles are arranged in framework (8)
PREGNANT,Expecting to be quiet as a ruler (8)
LOOPHOLE,What it’s possible to get through when there’s difficulty? (8)
CIRCUMSTANCE,Something associated with the pomp of a final musical performance? (12)
TURNER,Artist that is revolutionary (6)
EWER,Vessel in underground channel heading off (4)
PRETENCE,"Awful creep, about ten, behaving insincerely (8)"
ORCA,Sea creature some sailor caught (4)
DELETION,"Removal from Eden, toil being involved (8)"
LEPIDOPTERAN,Insect sadly trapped in hole — hard to get out (12)
EQUAL,Match with elements of supreme quality (5)
PILASTER,Column to endure when given external support (8)
BUDDLEIA,Plant with sign of new life daughter and I found in open country (8)
RESTRAIN,Engineers try hard to gain control (8)
MEANIE,The person writing leading article that is ungenerous soul (6)
ESPY,Spot with exceptional perception an unknown character (4)
CARP,Fish or grouse? (4)
STEAMY,“Sexy Sadie”‘s opening — group unknown (6)
SPREADER,Study held by agents backing agricultural machine (8)
REPENT,"Regret about writer, bankrupt, ultimately (6)"
WINDDOWN,"Less breeze , so relax? (4,4)"
PANATELLA,Criticise Americans accepting order for cigar (9)
RULES,The French following Rugby Union laws (5)
MISREPRESENTED,Met rep in des res unfortunately portrayed inaccurately (14)
THECAT,"Term of excellence article applied to jazz fan’s night attire? (3,4,7)"
INFER,Gather popular umpire retired (5)
ABSTINENT,Like one on the wagon missing having can inside (9)
MERCIFUL,"Compassionate? Lucifer, surprisingly, after mass! (8)"
ESCAPE,European associated with staggering space flight (6)
ROMANTIC,Visionary having short time in charge after Vespasian? (8)
JERKIN,Useless person wearing sleeveless jacket (6)
SCRAPE,Waste energy in awkward situation (6)
EXPENSIVE,"Dear old partner, deeply thoughtful (9)"
MONITOR,Track  large lizard (7)
PRIVATEEYES,"Tommy watches detectives (7,4)"
ENDORSE,"Back last nag, not the first (7)"
DROLL,Funny turn after onset of dizziness (5)
RINGSIDE,Row of seats in circle section (8)
LAPISLAZULI,"Stone is left in Bolivian city university — large one (5,6)"
TRADEMARK,First of them comment having taken in ad’s distinguishing characteristic (9)
STRIMMER,Be enraged about brief attempt to obtain gardening implement (8)
ARRAIGN,Charge American soldier up in Scottish island (7)
ATISSUE,"A series under discussion (2,5)"
STREWN,"Scattered drives, at the end, on Scottish Open golf course, we hear (6)"
FORUM,Meeting female over drink (5)
GRIEVOUS,Serious complaint not initially plaguing second person in Paris (8)
PRIORY,Enquire about current leading men in religious institution (6)
FOUR,Sport arising from running round in square (4)
IRIDESCENT,I travel beside trail filled with colour (10)
WAFFLE,"Women’s puzzle book overlooked, and not a convincing explanation (6)"
LICENSEE,Vermin? Note: contact landlord (8)
TESTER,Experimenter and demonstrator dismissing expert (6)
STREET,Engineers to get involved in instruction to restore highway (6)
ACCIDENT,Mishap I had when overwhelmed by stress (8)
SUTURE,Treatment of wound succeeded — tomorrow sees female heading off (6)
INDISCREET,"Unfocused, losing money, snatching wader without thinking? (10)"
REAP,Gather summary has omitted central item (4)
VENUES,The epitome of romance seen around European places (6)
FUNCTION,Pleasure — it has returned in Conservative Party? (8)
ARROGANT,"Superior total, sealing game up (8)"
TEAR,Rent adjacent locations in elite area (4)
POLICE,Who’ll have staff apprehending one leader of criminals? (6)
UPPERCUT,"After meal fails to start, split punch (8)"
DISCONCERT,Recording being played: something sure to provide surprise (10)
TRANCE,Condition shown by medium dog biting man’s bottom (6)
STIFLE,Block steps to secure source of funding (6)
FASTIDIOUS,Particular rapid way of speaking abandoned by last of Americans? (10)
EXERCISE,I’m not sure to intervene in tax trouble (8)
TARRAGON,Black badger regularly taking aromatic plant (8)
ITSELF,Emphatic view of it is restricting tense team in Bundesliga? (6)
CANTER,Pace is lacking in case (6)
SATINY,Opinion offered about metal with a lustrous surface (6)
RATE,Buccaneer not showing very good speed (4)
THINKING,Solving aid that’s peaked? (8-3)
CHANCES,Risks taken by rich ancestors (7)
ARRAIGN,Charge retiring US soldier occupying Scottish island (7)
UNDERTOW,"Current description of water-skier, perhaps (8)"
FITTER,More suitable tradesperson (6)
TEES,Flower shirts (4)
BLUECHEESE,"See eel fighting with chub — it could be Danish (4,6)"
RAGAMUFFIN,"Scruffy child, kid with a cake (10)"
PARE,"Peel fruit, we hear (4)"
ALLIED,"United improved, Solskjaer finally sacked (6)"
HEAVYSET,"American’s well-built, as they’ve ordered (8)"
EMOTIVE,Controversial reason for action online? (7)
ANIMATE,Bring to life musical pair on the air (7)
SALESPERSON,"Press cast to drink beer, facing issue in rep (11)"
TWADDLE,Rubbish tango: move like a duck! (7)
INCURS,"At home, dog, small, suffers (6)"
KISSOFLIFE,"Blows to bring one round? (4,2,4)"
NOAH,Cheat regularly on capsized mariner (4)
CORNICHE,Coast road‘s my special place (8)
PHILTRE,"Triple rum, hot inside, could be aphrodisiac (7)"
COUNTERPANE,Chip glass that’s found on bed (11)
NERVECENTRE,"HQ never moving money about (5,6)"
DELIBERATE,Careful doctor led a tribe east (10)
IMPERIAL,Jeopardise hosting leader in Ark Royal (8)
GALLOWS,Support for execution? (7)
ABSTAIN,Stay away from a black spot (7)
AVOIDS,Shuns when without space (6)
PECS,Exercise outside to compress muscles (4)
ACERBIC,Sharp expert playing crib (7)
DROOP,"Daughter, with bad back, in decline (5)"
STRAIT,Sound level for listeners (6)
ROULETTE,Course holding permit for gambling game (8)
GRASSCOURT,"Wimbledon feature — inform tribunal (5,5)"
PROP,Stay for start of party (4)
EMINENCEGRISE,"One wielding power behind the scenes, unpredictable in emergencies (8,5)"
CHIC,"Primarily, come here in Cannes, the height of fashion (4)"
BARRISTERS,Advocates having protective rails across street (10)
JUVENTUS,"Italian football club, very European, in unjust broadcast (8)"
INHAND,"Popular pointer receiving attention (2,4)"
THORN,Old character in two minds about hospital (5)
ISOLATE,"In consequence, departed after island cut off (7)"
MEGA,Huge Greek character blowing top (4)
OBSTACLE,Old boy’s story about opening of cell block (8)
ADJUST,Modify top of dress during a fitting (6)
COVERPOINT,"Fielder putting cap on head (5,5)"
ASTER,Flower expert miles off (5)
CORPUSCHRISTI,"Police officer collecting King, US novelist heard in college (6,7)"
POTHOLE,Road hazard — this is removed in Dorset resort (7)
SWITCHEDON,"Lit  with it (8,2)"
EXHAUST,Drain  pipe fitted to vehicle (7)
GRIDIRON,Network press pitch for Americans (8)
BITING,"Extremely cold, some climb it in Garmisch (6)"
RANGE,Fury involving new kitchen stove (5)
HEAR,Pick up article brought in by that woman (4)
TASTIER,More appealing modelled attires (7)
PLUMMET,Drop police force by choice (7)
UNTRIED,Inexperienced peacekeepers put to the test (7)
ANNULAR,Cancel a Republican circular (7)
FLASHBACK,Echo of past of showy defence player (9)
TESLA,Some magnate’s latest electric vehicle (5)
EVENT,Social occasion of first lady and gentry essentially (5)
PRINCIPLE,Standard of behaviour head teacher announced (9)
GUARANTEE,Promise oddly glum American organised support (9)
DARED,Challenged on interrupting father (5)
APPLE,Gala perhaps that’s big in New York? (5)
IDENTICAL,"Exactly the same in dialect, surprisingly (9)"
SWOLLEN,Puffed up as two ill men with openings gone (7)
ABASING,Swedish group half-heartedly perform songs; it’s mortifying! (7)
SLENDER,Remote southern bank? (7)
TONIGHT,Thing to put in order this evening (7)
TRUFFLE,"Pig out, finding this food (7)"
SITUATE,Locate model worried about uniform (7)
IRISH,Flower on top of hill from Dublin? (5)
REDCARPET,"Revolutionary vehicle, favourite for special treatment (3,6)"
PRANK,Parking place for taxis to wait is a joke (5)
UNNOTICED,"Continued, strangely disregarded (9)"
MILKSOP,Coward takes advantage of work (7)
TERRACE,Track round leading lady’s houses? (7)
TRAVELLED,Moved along a course initially twisted and tangled (9)
INELEGANT,Fashionable English stage worker lacking in refinement (9)
GLASSES,Drinks finally sozzling girls (7)
APPROVE,Think well of a very quiet ramble (7)
ROCKING,"Obstacle in golf, swaying from side to side (7)"
DELIGHT,Joy of ultimately untrained boat crew maintaining lead at first (7)
INNER,Offender not primarily close to centre of power (5)
TRAIN,"Exercise time, then shower? (5)"
HAKUNAMATATA,"Song and dance about reflective Rashford’s transfer tweet? (6,6)"
INCAN,Apparently ready for release of empire’s supreme ruler (5)
CONTRALTI,"Singers being heard in court, one delayed (9)"
DAIRYMAID,14 heading over to assist farm girl (9)
ASYET,"Inordinately easy start to Toughie? Till now! (2,3)"
ERIKSATIE,"Composer‘s one piece of work covered by Ireland retrospective (4,5)"
ONICE,"Nothing pleasant, alone in pen? (2,3)"
TAHOE,Lake resort near Spain – it’s lovely visiting (5)
LOSTATSEA,"Look at that set of numbers, each describing ratings that have gone down? (4,2,3)"
CHILL,"Is out of food, hot and cold (5)"
GOODGRIEF,"My word for doggie barking (4,5)"
SELF,Conscious of No 1 principality to the west receiving first 25% of passengers (4-5)
SWIFT,"Churchman, satirist and flier (5)"
HOCHIMINH,"Famous Vietnamese hospital: I am impatient and I am an in-patient (2,3,4)"
KINKY,"Bizarrely attractive, Frankfort’s heart – here! (5)"
NUCHA,"A little non-U, charmless scruff (5)"
MINIDRESS,woman’s clothed fashionably in red garment (9)
TARRAGONA,Sailor’s newspaper leading on a Spanish seaport (9)
TELLY,Still worked up about large student set (5)
FIDDLESTICKS,Bows rot! (12)
IFTHECAPFITS,"Fine to wear, when cooking, is it apt, chef? (2,3,3,4)"
SHEDLOADS,What unfortunate lorry-drivers may do a great deal (9)
TELEGRAPH,"Daily, the suspect’s admitted on charge (9)"
INSPIRITS,"Happy – as Gagarin’s medium or the Husband of Rhum? (2,7)"
ISLET,Enjoys life on rented eyot (5)
OVERT,On time for public viewing (5)
GOSHT,22! Someone finishing off tender curry-house meat (5)
ATISSUE,"What you’ll need if you cry in dispute? (2,5)"
GUESSED,Assumed one’s invited for speech (7)
CELLO,Instrument that could make mobile ring (5)
GETTHEAXE,"Prepare to cut leave, reluctantly (3,3,3)"
DICTIONARY,City Road in revised A-Z (10)
SWIM,Group of women wearing two costume sizes for pool activity (4)
AGRICULTURAL,"Laura, girl cut out for farming (12)"
OUTOFFASHION,"Lacking way to get square (3,2,7)"
CHAP,"Male hero, no maiden (4)"
DIVERGENCE,Conflict caused by man mostly seen in jumper going to church (10)
PENINSULA,Son entertained by silly ‘alien’ pun — ‘one that sticks out on Earth’ (9)
OASIS,Love meeting when one’s well (5)
STRANGE,"Street with field at the end, not common (7)"
TIDINGS,Reports occasional sightings of third fiend — gosh! (7)
ARCADE,Little group of shops are broken into by villain (6)
INLUCK,"Fortunate having two kinds of spirit left by GP initially (2,4)"
SHOWING,His gown is ruffled — rotten exhibitionism! (7-3)
EGGON,"Drive from Winnipeg, go north (3,2)"
GOTHROUGH,"Bear became hot and wild (2,7)"
ECHO,Imitate character on the radio? (4)
STALWART,Old reliable with coastal wartime housing (8)
DREAMILY,Idle army deployed in visionary fashion? (8)
STRONGHOLD,Keep what wrestler wants? (10)
INAMINUTE,"Ian drunk? Tiddly before you know it! (2,1,6)"
CONCEPTS,"Thoughts formerly admitted by upstanding pious person, politically correct (8)"
STRAINER,"On the way to getting drunk, leaves stick here (8)"
UNISON,College boy offers togetherness (6)
VERSES,Things people sing against upper class being overthrown by English (6)
EXACT,"Former band, say, bang on (5)"
ANON,Article about author seeking privacy? (4)
HAMMOCK,A place for resting meat substitute (7)
CATARACT,Viewer may suffer this  drop (8)
SQUIRMS,Feels embarrassment with jets losing time for millions (7)
FILAMENT,Feeble end of bulletin in suitable thread (8)
FEUDAL,Old-fashioned doctor leaves dreadful drunk (6)
EXORBITANT,Excessive influence held by former worker (10)
HUGO,Man personified by endless great love? (4)
PAILLASSE,"After parking trouble, girls mostly sleep on this (9)"
PEAL,Ring cycle has no heart (4)
